Pin,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7
PA0,,TIM2_CH1,,USART2_CTS,,,,
PA1,,TIM2_CH2,,USART2_RTS,,,,
PA2,,TIM2_CH3,,USART2_TX,,,,
PA3,,TIM2_CH4,,USART2_RX,,,,
PA4,,,,SPI1_NSS,USART2_CK,,,
PA5,,,,SPI1_SCK,,,,
PA6,,,,SPI1_MISO,TIM8_BKIN,,,
PA7,,,,SPI1_MOSI,TIM8_CH1N,,,
PA8,,TIM1_CH1,USART1_CK,,,,
PA9,,TIM1_CH2,USART1_TX,,,,
PA10,,TIM1_CH3,USART1_RX,,,,
PA11,,TIM1_CH4,USART1_CTS,,CAN_RX,,
PA12,,TIM1_ETR,USART1_RTS,,CAN_TX,,
PA13,,,,,,,,
PA14,,,,,,,,
PA15,,,,SPI1_NSS,,,,
PB0,,TIM1_CH2N,,TIM3_CH3,,,
PB1,,TIM1_CH3N,,TIM3_CH4,,,
PB2,,,,,,,,
PB3,,TIM1_CH1N,USART1_RTS,,,,
PB4,,,USART1_CTS,,,,
PB5,,,,I2C1_SMBA,,,,
PB6,,,,I2C1_SCL,TIM4_CH1,,
PB7,,,,I2C1_SDA,TIM4_CH2,,
PB8,,,,I2C1_SCL,TIM4_CH3,CAN_RX,
PB9,,,,I2C1_SDA,TIM4_CH4,CAN_TX,
PB10,,,,I2C2_SCL,USART3_TX,,
PB11,,,,I2C2_SDA,USART3_RX,,
PB12,,,,SPI2_NSS,USART3_CK,TIM1_BKIN,
PB13,,,,SPI2_SCK,USART3_CTS,TIM1_CH1N,
PB14,,,,SPI2_MISO,USART3_RTS,TIM1_CH2N,
PB15,,,,SPI2_MOSI,,TIM1_CH3N,
PC13,,,,,,,,
PC14,,,,,,,,
PC15,,,,,,,,
