# Blue Pill (STM32F103C8T6) board pins
# 格式: <功能名称>,<MCU引脚名>
# 参考: https://stm32-base.org/boards/STM32F103C8T6-Blue-Pill

# 板载用户LED (PC13, 低电平有效)
LED,PC13

# 用户按键 (通常连接到PA0)
BUTTON,PA0

# I2C1 (默认)
SDA,PB7
SCL,PB6

# I2C2
SDA2,PB11
SCL2,PB10

# SPI1
MOSI,PA7
MISO,PA6
SCK,PA5
SS,PA4

# SPI2
MOSI2,PB15
MISO2,PB14
SCK2,PB13
SS2,PB12

# USART1 (通常用于串口调试)
TX,PA9
RX,PA10

# USART2
TX2,PA2
RX2,PA3

# USART3
TX3,PB10
RX3,PB11

# CAN总线
CAN_RX,PA11
CAN_TX,PA12

# ADC通道 (模拟输入)
ADC0,PA0
ADC1,PA1
ADC2,PA2
ADC3,PA3
ADC4,PA4
ADC5,PA5
ADC6,PA6
ADC7,PA7
ADC8,PB0
ADC9,PB1

# 其他常用引脚别名
A0,PA0
A1,PA1
A2,PA2
A3,PA3
A4,PA4
A5,PA5
A6,PA6
A7,PA7
B0,PB0
B1,PB1
B10,PB10
B11,PB11
B12,PB12
B13,PB13
B14,PB14
B15,PB15
